<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTSS,D,20211201,000000,294.1500000,300.0000000,294.1000000,296.4500000,2479110
MTSS,D,20211202,000000,297.9500000,298.4000000,294.8000000,297.8500000,2140350
MTSS,D,20211203,000000,298.0500000,298.3500000,294.1500000,295.1000000,1985070
MTSS,D,20211206,000000,295.2500000,300.6000000,290.3500000,293.8500000,2339860
MTSS,D,20211207,000000,293.8500000,294.9500000,289.5500000,291.4500000,3115520
MTSS,D,20211208,000000,291.5000000,294.1500000,287.0500000,290.1000000,4351310
MTSS,D,20211209,000000,291.0000000,291.3000000,287.5500000,288.4500000,2745850
MTSS,D,20211210,000000,288.5000000,290.6500000,285.1500000,287.0500000,4897940
MTSS,D,20211213,000000,288.6000000,289.2000000,276.5500000,277.4500000,5643010
MTSS,D,20211214,000000,278.0000000,280.1000000,265.7000000,276.2500000,4925680
MTSS,D,20211215,000000,277.9500000,284.5000000,276.2500000,279.8500000,5620070
MTSS,D,20211216,000000,279.9500000,287.7000000,278.1000000,286.9500000,6936700
MTSS,D,20211217,000000,287.0000000,292.0500000,285.0000000,289.4000000,6363890
MTSS,D,20211220,000000,289.4000000,291.3000000,285.1500000,290.4000000,3275260
MTSS,D,20211221,000000,290.4500000,291.7500000,288.2000000,290.0500000,4262260
MTSS,D,20211222,000000,290.1000000,295.4000000,289.5500000,291.2500000,2965430
MTSS,D,20211223,000000,291.2000000,292.7500000,289.7000000,290.5500000,1466640
MTSS,D,20211224,000000,290.5000000,292.0500000,287.2000000,290.7000000,1835430
MTSS,D,20211227,000000,290.7000000,294.9500000,290.2000000,293.9500000,1973210
MTSS,D,20211228,000000,294.4500000,297.2000000,293.0500000,295.6000000,2022600
MTSS,D,20211229,000000,296.7000000,297.5500000,294.1000000,296.4000000,1418990
MTSS,D,20211230,000000,296.4000000,298.9500000,295.5500000,298.9000000,1131710
